epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.221,0.98215,2.74597,1.3459,0.00217,1,0.77558,0.53311,0.78132,3.94047,1.22268,0.00028,0.00028,0.00028
2,199.791,0.99234,2.30913,1.3588,1,0.02462,0.70833,0.39341,1.02855,4.37501,1.45411,0.00055129,0.00055129,0.00055129
3,298.383,1.04161,2.02247,1.33445,0.76927,0.54487,0.69354,0.47787,0.95983,3.99622,1.43967,0.00079288,0.00079288,0.00079288
4,405.384,1.009,1.83788,1.32052,0.86535,0.69872,0.82075,0.58307,0.93602,3.64562,1.42475,0.00100477,0.00100477,0.00100477
5,507.499,1.04717,1.70511,1.32213,0.77884,0.69982,0.76338,0.46306,1.27847,3.49488,1.76893,0.00118696,0.00118696,0.00118696
6,607.795,1.04561,1.76666,1.36978,0.56354,0.45521,0.4547,0.22893,1.77553,4.62991,2.15897,0.00133945,0.00133945,0.00133945
7,703.578,1.06099,1.61305,1.32783,0.38001,0.49506,0.38629,0.1757,1.41293,9.60565,2.03158,0.001406,0.001406,0.001406
8,798.46,1.0283,1.49188,1.33483,0.55279,0.71313,0.65914,0.42818,1.04405,2.77772,1.47358,0.001307,0.001307,0.001307
9,892.333,0.94757,1.33568,1.28594,0.84384,0.83135,0.89283,0.63309,0.96994,2.75629,1.40683,0.001208,0.001208,0.001208
10,988.032,0.96177,1.32893,1.25704,0.85499,0.85897,0.91331,0.65453,0.9381,3.3424,1.42105,0.001109,0.001109,0.001109
11,1080.25,0.88744,2.41378,1.32755,0.83795,0.86538,0.90346,0.64075,1.01323,2.60698,1.39682,0.00101,0.00101,0.00101
12,1174.71,0.8705,2.05448,1.25508,0.90924,0.89906,0.94745,0.72626,0.85597,2.44018,1.34997,0.000911,0.000911,0.000911
13,1268.19,0.88423,1.6263,1.30022,0.90642,0.89103,0.94094,0.69482,0.87473,1.84493,1.27781,0.000812,0.000812,0.000812
14,1361.02,0.83992,1.62085,1.21003,0.91655,0.94231,0.97312,0.74313,0.82851,1.60925,1.25377,0.000713,0.000713,0.000713
15,1455.29,0.84331,1.46357,1.23039,0.90027,0.98377,0.97697,0.77586,0.78598,1.38406,1.19002,0.000614,0.000614,0.000614
16,1547.77,0.80748,1.32851,1.17842,0.91495,0.96154,0.97913,0.76105,0.75826,1.29319,1.13377,0.000515,0.000515,0.000515
17,1637.43,0.77678,1.29344,1.16069,0.92045,0.98718,0.98338,0.77246,0.80328,1.25934,1.15618,0.000416,0.000416,0.000416
18,1726.64,0.70196,1.2288,1.15052,0.93938,0.99337,0.98962,0.81759,0.70055,1.08285,1.09182,0.000317,0.000317,0.000317
19,1815.37,0.69658,1.12776,1.12935,0.93891,0.98515,0.98923,0.82548,0.67501,1.04793,1.06689,0.000218,0.000218,0.000218
20,1906.15,0.72549,1.08555,1.12081,0.95568,0.96769,0.99015,0.82608,0.65589,1.04482,1.05254,0.000119,0.000119,0.000119
